Gene,spaceflight_effect,standard_error,t_statistic,p_value,adjusted_p_value,significant
AT4G23496,-0.536244988847075,0.04091165966748268,-13.107387801069633,1.805947241385197e-13,5.8348349421914325e-09,True
AT4G18422,-0.24771992309362573,0.019481536384794846,-12.71562561600474,3.7529547152568395e-13,6.062710694761661e-09,True
AT3G52740,-0.5481696644076102,0.04478713001404943,-12.239446113998662,9.333727322573877e-13,1.0052113202167978e-08,True
AT4G15248,-0.3009480991282181,0.03153285428737799,-9.543953629617413,2.669611624393527e-10,1.791295634293178e-06,True
AT3G24520,-0.3594895013299055,0.03785178143565598,-9.497294121836765,2.967834405949047e-10,1.791295634293178e-06,True
AT4G25830,-0.22628100950872315,0.02404554948620616,-9.41051522397233,3.616637522271441e-10,1.791295634293178e-06,True
AT5G66170,0.5960138873566667,0.06354325149171308,9.379656743476453,3.880983453543052e-10,1.791295634293178e-06,True
AT1G10370,-0.38837997863057205,0.042537844465766875,-9.130222358660607,6.89569417547152e-10,2.7849122889413665e-06,True
AT4G14690,-0.5974119652021301,0.06706507706430884,-8.907944214084338,1.1588719060211498e-09,3.395881920825895e-06,True
AT5G54470,-0.16523082714528045,0.018571606148742228,-8.896959467152538,1.1891886530485182e-09,3.395881920825895e-06,True
AT5G53980,0.30319246273090494,0.03411917247723346,8.886278321469103,1.2194464759904874e-09,3.395881920825895e-06,True
AT5G67210,-0.3048095533779589,0.03438849958533923,-8.863706095159431,1.2860099612481223e-09,3.395881920825895e-06,True
AT5G23280,-0.272255556892482,0.030805130840256524,-8.837993849280947,1.3663828955008398e-09,3.395881920825895e-06,True
AT2G44080,0.5655463041048221,0.06460651285264345,8.753704218562884,1.6678112665639094e-09,3.848951015100953e-06,True
AT1G67030,-0.365319016786508,0.042623203267891284,-8.570895399166503,2.5781704205428532e-09,5.55320720782127e-06,True
AT2G27370,-0.4206026662078358,0.049291334542684105,-8.532994087299718,2.8233870319530085e-09,5.701300725960609e-06,True
AT4G04750,-0.2139375574152333,0.025214721272853863,-8.48462908235905,3.1713363900426815e-09,5.877008996673815e-06,True
AT1G54540,-0.3569465070798102,0.04213564361330401,-8.471367148337732,3.2742010566754986e-09,5.877008996673815e-06,True
AT1G21320,0.20921483827229015,0.024835990013578012,8.42385740040606,3.6715632014725857e-09,6.039976325219531e-06,True
AT5G54230,-0.24602335260146846,0.02923165738140656,-8.416332655771924,3.738881627546214e-09,6.039976325219531e-06,True
AT2G36870,-0.33990171709665434,0.04060630785644037,-8.370662959517118,4.175436511302786e-09,6.424008487794367e-06,True
AT1G30750,-0.6369109843650842,0.07663925564881344,-8.310505875521837,4.831228327050562e-09,6.840270762221268e-06,True
AT5G54490,0.27763287129061387,0.03342049435388246,8.307264050340454,4.869424232600488e-09,6.840270762221268e-06,True
AT2G36100,-0.6462333060079655,0.07951397202278578,-8.127292469086802,7.555790933736758e-09,1.017166871992087e-05,True
AT5G13900,-0.5087122401082153,0.06350455638563199,-8.010641583244132,1.0067680866738926e-08,1.3011068044938717e-05,True
AT5G57660,-0.19468432479196274,0.024429770845976966,-7.969142486820456,1.115471905009302e-08,1.3861454530363668e-05,True
AT4G29930,-0.2767857294694427,0.03482611103094857,-7.947649659287949,1.1764100378682867e-08,1.4077271079069064e-05,True
AT4G21660,0.22077855356152087,0.027925442940611965,7.906000059911053,1.3043569303182069e-08,1.4865480620830976e-05,True
AT3G24020,-0.5195658440981952,0.06579401284957667,-7.896855984237753,1.3342998483521567e-08,1.4865480620830976e-05,True
AT3G17130,-0.18757219732792646,0.023860338407900805,-7.861254694770642,1.4577220700744509e-08,1.5699180787345147e-05,True
AT5G47450,-0.6706742975725801,0.08570159217517176,-7.825692388558427,1.5926645372088746e-08,1.654536382982696e-05,True
AT5G41590,-0.24156975703965256,0.030951832394738532,-7.804699701098043,1.6782409247562732e-08,1.654536382982696e-05,True
AT5G08050,-0.3450186902179827,0.04422228445134245,-7.801919202016915,1.689922332428394e-08,1.654536382982696e-05,True
AT4G13580,-0.5902919110460926,0.07592052693772247,-7.775129268139938,1.8068134028772266e-08,1.716951006869421e-05,True
AT4G36610,-0.3310189943978682,0.04279753803850813,-7.734533563590171,1.9998805458692448e-08,1.8461183016139836e-05,True
AT3G55230,-0.6497112962842387,0.08473775448270873,-7.667317835485202,2.367041614101512e-08,2.1243540975001598e-05,True
AT3G13650,-0.30034688597598685,0.03928232070494945,-7.64585392578764,2.4982360035088357e-08,2.1815001901991074e-05,True
AT3G21560,-0.4870603347132997,0.0639587721167843,-7.615223347689683,2.698421919842643e-08,2.2942977317946303e-05,True
AT5G25350,0.4511806507013079,0.059559201497604006,7.575330752536337,2.983906985131719e-08,2.4598877714544993e-05,True
AT1G73650,-0.2739705151521339,0.03620480506329084,-7.567241825310116,3.0454520677885414e-08,2.4598877714544993e-05,True
AT5G07475,-0.35582785300971953,0.04711707772465687,-7.551993251557514,3.1650149236379076e-08,2.4941089553126136e-05,True
AT2G39430,-0.5892206306265909,0.0786657797609002,-7.4901772081518905,3.700849862472398e-08,2.84692281444335e-05,True
AT3G11550,-0.4882749506145163,0.06568716312225038,-7.43333898749422,4.2750212310154524e-08,3.212131650066936e-05,True
AT3G22620,-0.5359468710222282,0.07228731136227605,-7.414120969809898,4.489064926065771e-08,3.2962999703695226e-05,True
AT5G09520,-0.31011224974611984,0.04200587310809335,-7.382592642417184,4.864152075291651e-08,3.483516732314172e-05,True
AT3G59900,0.3036620213205719,0.04125663848488869,7.360319029185956,5.148254367726442e-08,3.483516732314172e-05,True
AT1G59760,0.23249023348839648,0.03159079164547574,7.359430434586543,5.1599328871319813e-08,3.483516732314172e-05,True
AT2G48130,-0.46148875724766925,0.06271706800896155,-7.358264215759062,5.175301097250929e-08,3.483516732314172e-05,True
AT3G56290,-0.48828997700950566,0.06644105629849124,-7.3492205604894005,5.2960705364405646e-08,3.492055978813432e-05,True
AT3G25655,-0.3314379570918487,0.04534438098809559,-7.309350130479501,5.863698407613734e-08,3.7890046370318424e-05,True
AT1G30840,-0.4080811136319801,0.0560449348856118,-7.281320148999677,6.299525085851327e-08,3.863238863136617e-05,True
AT5G67300,-0.4243656260856028,0.05828152757890806,-7.281305822175802,6.299756084810361e-08,3.863238863136617e-05,True
AT5G15950,-0.37794510449616214,0.051922777688627,-7.278984702294655,6.337294863543926e-08,3.863238863136617e-05,True
AT4G28110,-0.2102541911909566,0.02917174358511639,-7.20746055433689,7.61286199458847e-08,4.526247875226283e-05,True
AT1G60270,-0.30625211478406755,0.042541787737255365,-7.198853905142111,7.783044447070185e-08,4.526247875226283e-05,True
AT2G37180,-0.5400362608876674,0.07504923984706988,-7.1957592373768975,7.84517877410851e-08,4.526247875226283e-05,True
AT4G25410,0.20591396571746717,0.028673997066540353,7.18120899711425,8.144154884037846e-08,4.6163070201469954e-05,True
AT5G01840,-0.2661549749728562,0.03733916888182111,-7.128036936634548,9.338923604198118e-08,5.202263495310983e-05,True
AT5G64620,-0.26592371709746104,0.03759367227555012,-7.0736297094979586,1.074675236709199e-07,5.885030885226697e-05,True
AT4G13390,0.5476172074906529,0.07783274178990658,7.035820592943167,1.1850644369571802e-07,6.381374482274923e-05,True
AT3G13580,0.2884014484161554,0.041100102832229916,7.017049314776811,1.244088164902528e-07,6.589384347514062e-05,True
AT2G22460,-0.12024471971727183,0.017174725148818116,-7.001260205060487,1.2960457176723139e-07,6.61292178764296e-05,True
AT4G24130,-0.3286774062818794,0.04694600722355117,-7.001179135783745,1.2963181126246828e-07,6.61292178764296e-05,True
AT2G19970,-0.3812244347263668,0.054484986779613206,-6.996871198085902,1.310876964974113e-07,6.61292178764296e-05,True
AT5G27330,0.31026636714380057,0.04437975344660438,6.9911692393040985,1.3304030338196553e-07,6.61292178764296e-05,True
AT1G35320,0.22317759468437598,0.032104752353574316,6.951543878192505,1.4745239500275777e-07,7.218241560824395e-05,True
AT5G60850,-0.2520235451481231,0.036328020624202165,-6.937442250300363,1.5295610290789336e-07,7.273352095515888e-05,True
AT5G23920,-0.3017627478919195,0.0434996568169981,-6.937129393030095,1.5308054798820154e-07,7.273352095515888e-05,True
AT5G26070,-0.28884665321312186,0.04180270884336639,-6.909759228652439,1.6437578862443712e-07,7.547236397465197e-05,True
AT1G16310,-0.25461227415260734,0.036853362170298165,-6.9087936393985565,1.647893960204541e-07,7.547236397465197e-05,True
AT4G23500,-0.15780255077580008,0.022848998759086223,-6.906322348722072,1.6585279155035098e-07,7.547236397465197e-05,True
AT3G21890,-0.1642514056835126,0.023866900670293987,-6.881974662422282,1.7670994147275015e-07,7.929613193115394e-05,True
AT2G44940,-0.40203280510681555,0.058600114231854156,-6.860614699762419,1.868286525593776e-07,8.019913414795312e-05,True
AT2G40900,-0.3537499339313621,0.05156277958480592,-6.860567579556982,1.868516135641874e-07,8.019913414795312e-05,True
AT2G32300,-0.4580608262112638,0.06677043944666881,-6.860233810159782,1.8701433675559475e-07,8.019913414795312e-05,True
AT1G78120,-0.2338252841879895,0.03410076553773679,-6.856892521349187,1.8865127968195974e-07,8.019913414795312e-05,True
AT2G01580,-0.14858988715690197,0.021735883633778694,-6.836155808544427,1.9914126719720786e-07,8.355915846590376e-05,True
AT5G45870,-0.14076454534466742,0.020633082488387005,-6.82227415239068,2.0649293747484932e-07,8.553308098557572e-05,True
AT5G47530,-0.18931554105224913,0.02777874882119903,-6.8151212378498185,2.1038815426215275e-07,8.604342881083409e-05,True
AT5G42180,-0.5715360546732573,0.08398892481610945,-6.804897859147664,2.1608543128458565e-07,8.726880249217096e-05,True
AT5G25810,-0.3098377016808377,0.045633857704807046,-6.789645172781427,2.2487825599760468e-07,8.969866139539025e-05,True
AT1G68560,0.25596994565438963,0.03795706299937751,6.743671017396354,2.536441724686836e-07,9.93231498544137e-05,True
AT3G10690,0.24097772411035606,0.03574592433422596,6.741404190788404,2.551555739241802e-07,9.93231498544137e-05,True
AT4G15920,-0.3447410811896283,0.05135949730290817,-6.712314163754632,2.7538314358349706e-07,0.00010521228158422811,True
AT5G64700,-0.23022897072282653,0.03432923920567638,-6.706497902369997,2.7961889370523955e-07,0.00010521228158422811,True
AT3G57540,-0.20615046604998277,0.030741628342487323,-6.705905873081771,2.8005373785148466e-07,0.00010521228158422811,True
AT4G28660,-0.21826188686016518,0.03257313952286877,-6.700670861245324,2.8392884755981316e-07,0.00010544203604379314,True
AT2G30210,-0.43453509754319186,0.06541729380435132,-6.642511058968449,3.3082512262906325e-07,0.00012139012304817011,True
AT2G30040,-0.1413497712514221,0.021292614513642106,-6.638441284928151,3.343873518613123e-07,0.00012139012304817011,True
AT3G07770,0.2837036362791943,0.042786900345935096,6.630619044273609,3.4134378854855854e-07,0.0001221080753013713,True
AT5G13330,0.2867779376847547,0.04327985926270757,6.626129164238275,3.4540287629216666e-07,0.0001221080753013713,True
AT3G25730,0.2071005795761367,0.0312670325169657,6.6236084113119,3.477032073950342e-07,0.0001221080753013713,True
AT1G49570,0.3356254410217594,0.05090803251457526,6.592779654677637,3.77126989955601e-07,0.0001310171604137152,True
AT2G41150,0.17719427414893973,0.0269634061241821,6.571657650849358,3.987337352711911e-07,0.00013704987503060546,True
AT5G66390,-0.5905644267918864,0.09033124821429948,-6.537764488661186,4.360625685390763e-07,0.00014455117255481506,True
AT3G22840,-0.5667534605859977,0.08670384085209287,-6.536659218509318,4.3733786972864794e-07,0.00014455117255481506,True
AT4G04840,-0.46370251499258125,0.07094447884988647,-6.536132515311631,4.379469295424525e-07,0.00014455117255481506,True
AT5G13490,0.24396298079985743,0.03732778246228768,6.535694453490069,4.384541431295267e-07,0.00014455117255481506,True
AT1G22360,0.23780096800057574,0.03641820376723689,6.529728086548572,4.4542197558023127e-07,0.00014536503645476456,True
AT1G01060,-0.1554046442741382,0.023849432094395984,-6.516073156754721,4.6179465391398116e-07,0.00014920123473306817,True
AT3G52710,-0.1651246166889786,0.025420710892573934,-6.49567265788841,4.874002749609329e-07,0.0001558524004509518,True
AT3G48000,0.23399242200001139,0.03604263081603295,6.4921016225020916,4.920283774179666e-07,0.0001558524004509518,True
AT1G06040,-0.4150848996003801,0.06407532645260262,-6.4780770162353205,5.106397961292169e-07,0.00016017729294309581,True
AT1G07700,-0.2124730755050213,0.03282630353499195,-6.472647012434122,5.18036008450852e-07,0.0001609348595869094,True
AT1G14720,-0.21879784580528577,0.033840371727078676,-6.465586358503452,5.278160564293298e-07,0.00016094488726426593,True
AT4G15480,-0.2850838785252879,0.04409355061238005,-6.465432576102081,5.280311383828713e-07,0.00016094488726426593,True
AT3G44450,-0.24060265110540066,0.037256158427674005,-6.458063881505296,5.384419136906209e-07,0.00016258429709747917,True
AT1G71740,-0.42473016058277396,0.06591112871941149,-6.4439825084908104,5.58919160938586e-07,0.00016720480713671085,True
AT2G21100,-0.1973112827889522,0.030656159250847838,-6.436268848110688,5.704693530916525e-07,0.00016909444338567158,True
AT3G49845,-0.29499164238538467,0.04595599352766711,-6.419002609698546,5.972081842262667e-07,0.0001754109020378768,True
AT1G61580,0.2593193542551139,0.040458419238442886,6.409527587491929,6.124177273936757e-07,0.00017825769688614655,True
AT5G65790,-0.19340089111142084,0.030200499642210235,-6.403897068017737,6.216413635981964e-07,0.00017932688229012613,True
AT3G13470,0.2584333241689385,0.04038060451103127,6.399936982081064,6.282128036194482e-07,0.00017961882718708628,True
AT5G48175,0.15362322794108574,0.02401964934551136,6.395731500126744,6.352685705354134e-07,0.00018004291443358484,True
AT3G54030,-0.20230954716783126,0.0318109612558607,-6.3597432828458995,6.990298716710384e-07,0.00019639092281582244,True
AT5G10930,-0.2598756901615687,0.04099662631294546,-6.3389530684262185,7.387819406346051e-07,0.0002057698768962367,True
AT5G52640,0.4029167261999632,0.06367017963026404,6.328185793407856,7.602621713037222e-07,0.00020702925383375391,True
AT1G46480,-0.2019833214402302,0.03192176009610458,-6.327449389762135,7.617541761819074e-07,0.00020702925383375391,True
AT5G54790,-0.3107675184228689,0.04911714082434367,-6.327068579465132,7.625268874374544e-07,0.00020702925383375391,True
AT1G78440,-0.14499197970694871,0.023019321138961435,-6.298707891152446,8.223636743203439e-07,0.00022109251437218505,True
AT5G17460,-0.32384524142842863,0.051444029800303735,-6.295098628267192,8.30312438827353e-07,0.00022109251437218505,True
AT5G55300,0.32354548430122965,0.051413125034461375,6.293052291304262,8.34853655433674e-07,0.00022109251437218505,True
AT4G12550,-0.5627977851211992,0.08957408090798408,-6.283042811227269,8.574317331885775e-07,0.0002252257062405671,True
AT5G41040,-0.41996109758204814,0.06719134502469508,-6.250226088310902,9.358860108487288e-07,0.00024385113810089984,True
AT1G52540,-0.180720681901336,0.02893127946656887,-6.24654993603602,9.451156756233487e-07,0.00024428593890971816,True
AT1G26945,0.19443681927272424,0.031176224573380876,6.236701907733234,9.702977233849406e-07,0.00024786997572934417,True
AT5G56980,-0.36908989463860664,0.059195023508675414,-6.235150740070474,9.74325634269916e-07,0.00024786997572934417,True
AT1G74020,-0.2870960442160566,0.04607102953422054,-6.231596018552353,9.836201300487416e-07,0.0002482795529823812,True
AT2G28550,-0.25178523540272213,0.04047209263294583,-6.221206244170318,1.0113040268512846e-06,0.00025328854111269887,True
